Section,Model,Scale,Horizon,Source_file,Source_col_or_key,N,MAPE,RMSE,CVRMSE,CVRMSE_med,MAE,Bias,Precision,Recall,F1
Ablation,contrib_weather,,,ablation_results/feature_group_contribution.csv,group=weather,,,,,,,,,
Ablation,contrib_AMI,,,ablation_results/feature_group_contribution.csv,group=AMI,,,,,,,,,
Ablation,contrib_categorical,,,ablation_results/feature_group_contribution.csv,group=categorical,,,,,,,,,
Tuning,baseline_cvrmse,,,tuning_results/best_params.json,baseline_cvrmse,,,,,,,,,
Tuning,best_cvrmse,,,tuning_results/best_params.json,best_cvrmse,,,,,,,,,
Tuning,n_trials,,,tuning_results/best_params.json,n_trials,,,,,,,,,
Tuning,learning_rate,,,tuning_results/best_params.json,best_params.learning_rate,,,,,,,,,
Tuning,num_leaves,,,tuning_results/best_params.json,best_params.num_leaves,,,,,,,,,
Tuning,min_data_in_leaf,,,tuning_results/best_params.json,best_params.min_data_in_leaf,,,,,,,,,
Tuning,feature_fraction,,,tuning_results/best_params.json,best_params.feature_fraction,,,,,,,,,
Tuning,bagging_fraction,,,tuning_results/best_params.json,best_params.bagging_fraction,,,,,,,,,
Tuning,lambda_l1,,,tuning_results/best_params.json,best_params.lambda_l1,,,,,,,,,
Tuning,lambda_l2,,,tuning_results/best_params.json,best_params.lambda_l2,,,,,,,,,
Tuning,max_depth,,,tuning_results/best_params.json,best_params.max_depth,,,,,,,,,
Residual,before,,,residual_correction/residual_summary.json,before.*,,,,,,,,,
Residual,after,,,residual_correction/residual_summary.json,after.*,,,,,,,,,
Residual,ridge_alpha,,,residual_correction/residual_summary.json,ridge_alpha or ridge_coefficients,,,,,,,,,
SHAP,1st,,,prev export: shap_global.csv,rank=1,,,,,,,,,
SHAP,2nd,,,prev export: shap_global.csv,rank=2,,,,,,,,,
SHAP,3rd,,,prev export: shap_global.csv,rank=3,,,,,,,,,
SHAP,4th,,,prev export: shap_global.csv,rank=4,,,,,,,,,
SHAP,5th,,,prev export: shap_global.csv,rank=5,,,,,,,,,
Alarm,base_rate_any3,,,prev export: 10_alarm_base_rates.json,any_of_3.trigger_rate,,,,,,,,,
Alarm,base_rate_prev,,,prev export: 10_alarm_base_rates.json,cond_prev.trigger_rate,,,,,,,,,
Alarm,base_rate_yoy,,,prev export: 10_alarm_base_rates.json,cond_yoy.trigger_rate,,,,,,,,,
Alarm,base_rate_ma3,,,prev export: 10_alarm_base_rates.json,cond_ma3.trigger_rate,,,,,,,,,
